"sales_person","country","product","sale_date","amount","boxes_shipped","amount_numeric","sale_date_actual"
"Jehu Rudeforth","New Zealand","50% Dark Bites","20/04/2022","$3,990.00",59,3990.0,"2022-04-20"
"Brien Boise","Australia","99% Dark & Pure","04/07/2022","$2,835.00",102,2835.0,"2022-07-04"
"Rafaelita Blaksland","UK","Smooth Sliky Salty","13/01/2022","$4,704.00",62,4704.0,"2022-01-13"
"Barr Faughny","USA","Orange Choco","10/03/2022","$3,703.00",11,3703.0,"2022-03-10"
"Mallorie Waber","Canada","Eclairs","13/01/2022","$1,442.00",286,1442.0,"2022-01-13"
"Karlen McCaffrey","New Zealand","Drinking Coco","28/07/2022","$168.00",156,168.0,"2022-07-28"
"Marney O'Breen","New Zealand","Peanut Butter Cubes","03/08/2022","$8,379.00",173,8379.0,"2022-08-03"
"Beverie Moffet","Australia","Organic Choco Syrup","26/01/2022","$6,790.00",356,6790.0,"2022-01-26"
"Van Tuxwell","Canada","Organic Choco Syrup","14/02/2022","$4,067.00",42,4067.0,"2022-02-14"
"Roddy Speechley","USA","Smooth Sliky Salty","05/04/2022","$3,017.00",140,3017.0,"2022-04-05"
"Beverie Moffet","Canada","Milk Bars","16/02/2022","$8,799.00",250,8799.0,"2022-02-16"
"Curtice Advani","UK","85% Dark Bars","08/06/2022","$1,085.00",172,1085.0,"2022-06-08"
"Brien Boise","Australia","Eclairs","27/06/2022","$6,888.00",88,6888.0,"2022-06-27"
"Gunar Cockshoot","USA","Spicy Special Slims","17/02/2022","$1,267.00",157,1267.0,"2022-02-17"
"Marney O'Breen","USA","After Nines","30/05/2022","$4,753.00",163,4753.0,"2022-05-30"
"Husein Augar","UK","Drinking Coco","14/03/2022","$3,003.00",113,3003.0,"2022-03-14"
"Kaine Padly","Australia","Eclairs","28/02/2022","$7,672.00",115,7672.0,"2022-02-28"
"Karlen McCaffrey","India","Fruit & Nut Bars","26/01/2022","$168.00",321,168.0,"2022-01-26"
"Roddy Speechley","Canada","Spicy Special Slims","09/02/2022","$1,652.00",186,1652.0,"2022-02-09"
"Husein Augar","USA","Eclairs","07/07/2022","$4,025.00",112,4025.0,"2022-07-07"
"Dennison Crosswaite","New Zealand","White Choc","05/07/2022","$9,492.00",151,9492.0,"2022-07-05"
"Dennison Crosswaite","New Zealand","Manuka Honey Choco","15/06/2022","$5,061.00",301,5061.0,"2022-06-15"
